0.05,1.00001,1e-005,1e-005,1e-005,1e-005
0.1,1.00001,-0.49999,9.99876e-006,1e-005,1e-005
0.15,1.00001,-0.269994,1.14128,-0.269989,0.461249
0.2,1.00001,-0.293994,1.36955,-0.293988,0.553504
0.25,1.00001,-0.22279,1.34345,-0.222783,0.564205
0.3,1.00001,-0.223366,1.38389,-0.223359,0.584798
0.35,1.00001,-0.223366,1.38389,-0.223359,0.584798
0.4,1.00001,-0.0904965,1.39543,-0.0904887,0.596429
0.45,1.00001,-0.033918,1.39773,-0.0339101,0.596429
0.5,1.00001,0.0151449,1.39993,0.0151528,0.600295
0.55,1.00001,0.0262319,1.40083,0.0262398,0.601068
0.6,1.00001,0.118322,1.40145,0.11833,0.601531
0.65,1.00001,0.158951,1.40175,0.158959,0.601778
0.7,1.00001,0.215499,1.40175,0.158959,0.601778
0.75,1.00001,0.264938,1.40203,0.264946,0.601998
0.8,1.00001,0.276099,1.40209,0.276107,0.602042
0.85,1.00001,0.368274,1.40212,0.368282,0.602066
0.9,1.00001,0.408935,1.40214,0.408943,0.60208
0.95,1.00001,0.465507,1.40215,0.465515,0.602087
1,1.00001,0.514958,1.40215,0.514966,0.602092
1.05,1.00001,0.526121,1.40215,0.526129,0.602094
1.1,1.00001,0.618304,1.40216,0.618312,0.602095
1.15,1.00001,0.658966,1.40216,0.658974,0.602096
1.2,1.00001,0.71554,1.40216,0.715548,0.602096
1.25,1.00001,0.764992,1.40216,0.765,0.602097
1.3,1.00001,0.776159,1.40216,0.776167,0.602097
1.35,1.00001,0.868338,1.40216,0.868346,0.602097
1.4,1.00001,0.909002,1.40216,0.90901,0.602097
1.45,1.00001,0.965575,1.40216,0.965583,0.602097
1.5,1.00001,1.01503,1.40216,1.01503,0.602097
1.55,1.00001,1.02619,1.40216,1.0262,0.602097
1.6,1.00001,1.11837,1.40216,1.0262,0.602097
1.65,1.00001,1.15904,1.40216,1.15904,0.602097
1.7,1.00001,1.21561,1.40216,1.21562,0.602097
1.75,1.00001,1.26506,1.40216,1.26507,0.602097
1.8,1.00001,1.27623,1.40216,1.27624,0.602097
1.85,1.00001,1.36841,1.40216,1.36842,0.602097
1.9,1.00001,1.40907,1.40216,1.40908,0.602097
1.95,1.00001,1.46564,1.40216,1.46565,0.602097
2,1.00001,1.5151,1.40216,1.5151,0.602097
2.05,1.00001,1.52626,1.40216,1.52627,0.602097
2.1,1.00001,1.54843,1.40216,1.54844,0.602097
2.15,1.00001,1.57259,1.40216,1.5726,0.602097
2.2,1.00001,1.70687,1.40216,1.70688,0.602097
2.25,1.00001,1.74607,1.40216,1.74607,0.602097
2.3,1.00001,1.77053,1.40216,1.77054,0.602097
2.35,1.00001,1.86356,1.40216,1.86357,0.602097
2.4,1.00001,1.907,1.40216,1.90701,0.602097
2.45,1.00001,1.9643,1.40216,1.96431,0.602097
2.5,1,1.94473,1.40216,1.96431,0.602097
2.55,0.99875,1.95036,1.40216,1.96431,0.602097
2.6,0.995004,2.12639,1.40905,1.9927,0.602097
2.65,0.988771,2.18341,1.42082,2.13639,0.622541
2.7,0.980067,2.25802,1.43066,2.1782,0.635458
2.75,0.968912,2.32762,1.43875,2.21227,0.648268
2.8,0.955336,2.34183,1.44082,2.22047,0.65076
2.85,0.939373,2.4743,1.4456,2.28669,0.669443
2.9,0.921061,2.53219,1.44301,2.31766,0.674459
2.95,0.900447,2.61298,1.43797,2.36111,0.680455
3,0.877583,2.68302,1.42881,2.4008,0.682121
3.05,0.852525,2.69881,1.42828,2.40902,0.683636
3.1,0.825336,2.79628,1.42634,2.4989,0.684272
3.15,0.796084,2.8845,1.38193,2.4989,0.684272
3.2,0.764842,2.95387,1.36404,2.57519,0.661406
3.25,0.731689,3.02479,1.33463,2.61824,0.64708
3.3,0.696707,3.03942,1.33063,2.62799,0.645498
3.35,0.659983,3.15989,1.27414,2.71415,0.610865
3.4,0.62161,3.21136,1.2468,2.75276,0.592374
3.45,0.581683,3.28264,1.2076,2.8068,0.565278
3.5,0.540302,3.34348,1.17074,2.85461,0.538182
3.55,0.497571,3.35751,1.16325,2.86501,0.533165
3.6,0.453596,3.4678,1.08852,2.95553,0.474461
3.65,0.408487,3.51527,1.05381,2.99556,0.446013
3.7,0.362358,3.58093,1.00484,3.05145,0.405397
3.75,0.315322,3.63213,0.960137,3.10073,0.36227
3.8,0.267499,3.64528,0.950627,3.11153,0.354746
3.85,0.219007,3.75162,0.864377,3.20335,0.281901
3.9,0.169967,3.79531,0.825337,3.24389,0.245847
3.95,0.120503,3.85708,0.770758,3.30035,0.196284
4,0.0707372,3.90949,0.722273,3.34974,0.15071
4.05,0.0207949,3.9216,0.722273,3.34974,0.15071
4.1,-0.0291995,4.01698,0.61994,3.45305,0.0524498
4.15,-0.0791209,4.05812,0.579414,3.45305,0.0524498
4.2,-0.128844,4.11504,0.523044,3.55025,-0.0436317
4.25,-0.178246,4.16384,0.473865,3.5997,-0.0934623
4.3,-0.227202,4.17458,0.462698,3.61029,-0.104474
4.35,-0.27559,4.26376,0.371913,3.7031,-0.104474
4.4,-0.32329,4.30183,0.33245,3.74366,-0.240735
4.45,-0.370181,4.35795,0.277923,3.80033,-0.295813
4.5,-0.416147,4.39969,0.230976,3.84995,-0.350282
4.55,-0.461073,4.41041,0.220101,3.86055,-0.361041
4.6,-0.504846,4.49205,0.135405,3.95379,-0.45645
4.65,-0.547358,4.52695,0.0992002,3.99465,-0.497944
4.7,-0.588501,4.57519,0.0493677,4.05187,-0.497944
